nodes,NR,NW,clients,read_s,write_s
7,7,7,8,0.14,3.71
7,7,7,9,0.15,3.98
7,7,7,10,0.16,4.5
8,1,8,3,0.11,1.4
8,1,8,4,0.11,2.12
8,1,8,5,0.12,2.27
8,1,8,6,0.12,3.2
8,1,8,7,0.13,3.55
8,1,8,8,0.13,3.93
8,1,8,9,0.14,5.03
8,1,8,10,0.14,5.76
8,2,7,3,0.15,1.75
8,2,7,4,0.11,1.78
8,2,7,5,0.18,2.92
8,2,7,6,0.19,2.61
8,2,7,7,0.41,3.18
8,2,7,8,0.19,3.71
8,2,7,9,0.41,4.25
8,2,7,10,0.21,4.52
8,2,8,3,0.1,1.53
8,2,8,4,0.11,2.71
8,2,8,5,0.12,2.45
8,2,8,6,0.12,3.33
8,2,8,7,0.13,3.9
8,2,8,8,0.14,4.37
8,2,8,9,0.14,4.54
8,2,8,10,0.14,5.18
8,3,6,3,0.11,1.17
8,3,6,4,0.12,1.38
8,3,6,5,0.19,2.17
8,3,6,6,0.24,2.41
8,3,6,7,0.27,2.57
8,3,6,8,0.25,3.11
8,3,6,9,0.27,3.6
8,3,6,10,0.29,4.19
8,3,7,3,0.16,1.24
8,3,7,4,0.11,2.19
8,3,7,5,0.16,2.95
8,3,7,6,0.18,2.57
8,3,7,7,0.18,3.05
8,3,7,8,0.2,4.68
8,3,7,9,0.19,4.12
8,3,7,10,0.44,4.65
8,3,8,3,0.11,1.95
8,3,8,4,0.11,1.96
8,3,8,5,0.11,2.73
8,3,8,6,0.13,3.15
8,3,8,7,0.13,3.37
8,3,8,8,0.14,3.73
8,3,8,9,0.14,4.1
8,3,8,10,0.15,4.36
8,4,5,3,0.1,0.83
8,4,5,4,0.19,1.32
8,4,5,5,0.18,1.56
8,4,5,6,0.18,1.72
8,4,5,7,0.22,2.01
8,4,5,8,0.23,2.23
8,4,5,9,0.25,2.48
8,4,5,10,0.25,3.06
8,4,6,3,0.16,1.09
8,4,6,4,0.12,1.66
8,4,6,5,0.19,1.79
8,4,6,6,0.18,2.37
8,4,6,7,0.24,2.42
8,4,6,8,0.19,2.86
8,4,6,9,0.24,3.04
8,4,6,10,0.23,3.31
8,4,7,3,0.11,1.28
8,4,7,4,0.12,1.57
8,4,7,5,0.12,2.35
8,4,7,6,0.18,2.42
8,4,7,7,0.13,2.77
8,4,7,8,0.2,3.31
8,4,7,9,0.21,3.72
8,4,7,10,0.2,4.01
8,4,8,3,0.11,1.46
8,4,8,4,0.12,1.8
8,4,8,5,0.12,2.31
8,4,8,6,0.12,2.67
8,4,8,7,0.13,3.3
8,4,8,8,0.14,4.0
8,4,8,9,0.13,4.15
8,4,8,10,0.14,4.33
8,5,5,3,0.16,0.86
8,5,5,4,0.17,1.31
8,5,5,5,0.25,1.59
8,5,5,6,0.25,1.93
8,5,5,7,0.29,1.95
8,5,5,8,0.25,2.28
8,5,5,9,0.27,2.73
8,5,5,10,0.28,3.08
8,5,6,3,0.17,1.03
8,5,6,4,0.11,1.54
8,5,6,5,0.17,1.67
8,5,6,6,0.13,2.29
8,5,6,7,0.23,2.43
8,5,6,8,0.24,2.68
8,5,6,9,0.19,3.35
8,5,6,10,0.26,3.48
8,5,7,3,0.1,1.3
8,5,7,4,0.12,1.66
8,5,7,5,0.12,2.05
8,5,7,6,0.19,2.29
8,5,7,7,0.14,2.85
8,5,7,8,0.18,3.25
8,5,7,9,0.19,3.44
8,5,7,10,0.21,4.07
8,5,8,3,0.11,1.37
8,5,8,4,0.12,1.91
8,5,8,5,0.12,2.28
8,5,8,6,0.13,2.81
8,5,8,7,0.14,3.19
8,5,8,8,0.14,3.81
8,5,8,9,0.14,4.08
8,5,8,10,0.16,4.51
8,6,5,3,0.16,0.85
8,6,5,4,0.18,1.15
8,6,5,5,0.18,1.61
8,6,5,6,0.25,1.81
8,6,5,7,0.24,1.85
8,6,5,8,0.32,3.4
8,6,5,9,0.35,3.92
8,6,5,10,0.34,3.43
8,6,6,3,0.17,1.05
8,6,6,4,0.18,1.55
8,6,6,5,0.12,1.83
8,6,6,6,0.19,2.16
8,6,6,7,0.2,2.46
8,6,6,8,0.25,2.92
8,6,6,9,0.24,2.99
8,6,6,10,0.27,3.36
8,6,7,3,0.11,1.22
8,6,7,4,0.12,1.68
8,6,7,5,0.18,1.98
8,6,7,6,0.2,2.47
8,6,7,7,0.2,2.77
8,6,7,8,0.14,3.28
8,6,7,9,0.21,3.84
8,6,7,10,0.2,4.0
8,6,8,3,0.11,1.43
8,6,8,4,0.12,1.81
8,6,8,5,0.12,2.28
8,6,8,6,0.14,2.69
8,6,8,7,0.14,3.53
8,6,8,8,0.14,4.21
8,6,8,9,0.15,4.81
8,6,8,10,0.15,5.43
8,7,5,3,0.22,0.85
8,7,5,4,0.12,1.35
8,7,5,5,0.23,1.45
8,7,5,6,0.23,1.73
8,7,5,7,0.28,2.03
8,7,5,8,0.27,2.24
8,7,5,9,0.25,2.46
8,7,5,10,0.32,3.04
8,7,6,3,0.11,0.99
8,7,6,4,0.18,1.4
8,7,6,5,0.18,1.73
8,7,6,6,0.19,2.04
8,7,6,7,0.2,2.41
8,7,6,8,0.27,2.81
8,7,6,9,0.25,3.29
8,7,6,10,0.26,3.75
8,7,7,3,0.17,1.41
8,7,7,4,0.18,1.62
8,7,7,5,0.17,2.06
8,7,7,6,0.13,2.35
8,7,7,7,0.2,2.76
8,7,7,8,0.2,3.38
8,7,7,9,0.2,3.59
8,7,7,10,0.21,3.89
8,7,8,3,0.11,1.48
8,7,8,4,0.12,1.83
8,7,8,5,0.12,2.37
8,7,8,6,0.13,2.75
8,7,8,7,0.14,3.29
8,7,8,8,0.14,3.61
8,7,8,9,0.15,4.06
8,7,8,10,0.15,4.38
8,8,5,3,0.11,0.95
8,8,5,4,0.12,1.12
8,8,5,5,0.19,1.55
8,8,5,6,0.26,1.77
8,8,5,7,0.31,1.87
8,8,5,8,0.28,2.5
8,8,5,9,0.33,2.57
8,8,5,10,0.26,2.8
8,8,6,3,0.12,1.17
8,8,6,4,0.25,1.36
8,8,6,5,0.18,1.78
8,8,6,6,0.24,2.19
8,8,6,7,0.26,2.44
8,8,6,8,0.26,2.71
8,8,6,9,0.3,3.07
8,8,6,10,0.23,3.43
8,8,7,3,0.11,1.23
8,8,7,4,0.12,1.81
8,8,7,5,0.13,1.93
8,8,7,6,0.14,2.38
8,8,7,7,0.15,2.74
8,8,7,8,0.22,3.47
8,8,7,9,0.22,3.65
8,8,7,10,0.2,3.87
8,8,8,3,0.11,1.53
8,8,8,4,0.12,1.79
8,8,8,5,0.13,2.53
8,8,8,6,0.14,3.93
8,8,8,7,0.14,3.35
8,8,8,8,0.16,3.84
8,8,8,9,0.16,4.22
8,8,8,10,0.17,4.49
9,1,9,3,0.1,1.66
9,1,9,4,0.11,2.12
9,1,9,5,0.12,2.6
9,1,9,6,0.12,2.97
9,1,9,7,0.13,3.55
9,1,9,8,0.12,3.97
9,1,9,9,0.14,4.63
9,1,9,10,0.14,5.8
9,2,8,3,0.16,1.39
9,2,8,4,0.17,1.81
9,2,8,5,0.2,2.44
9,2,8,6,0.12,3.13
9,2,8,7,0.18,3.27
9,2,8,8,0.18,3.6
9,2,8,9,0.13,4.29
9,2,8,10,0.2,4.43
9,2,9,3,0.1,1.59
9,2,9,4,0.11,2.16
9,2,9,5,0.12,2.57
9,2,9,6,0.12,2.99
9,2,9,7,0.13,5.15
9,2,9,8,0.13,4.05
9,2,9,9,0.14,4.45
9,2,9,10,0.15,5.01
9,3,7,3,0.11,1.21
9,3,7,4,0.11,1.52
9,3,7,5,0.21,1.84
9,3,7,6,0.16,2.36
9,3,7,7,0.24,2.58
9,3,7,8,0.25,3.29
9,3,7,9,0.25,3.47
9,3,7,10,0.24,3.87
9,3,8,3,0.11,1.37
9,3,8,4,0.11,1.87
9,3,8,5,0.18,2.25
9,3,8,6,0.18,2.8
9,3,8,7,0.19,3.22
9,3,8,8,0.18,3.62
9,3,8,9,0.18,3.94
9,3,8,10,0.2,4.26
9,3,9,3,0.1,1.56
9,3,9,4,0.12,2.01
9,3,9,5,0.12,2.37
9,3,9,6,0.12,2.87
9,3,9,7,0.13,3.46
9,3,9,8,0.13,3.93
9,3,9,9,0.13,4.45
9,3,9,10,0.14,5.22
9,4,6,3,0.11,1.05
9,4,6,4,0.17,1.31
9,4,6,5,0.23,1.77
9,4,6,6,0.29,2.1
9,4,6,7,0.3,2.47
9,4,6,8,0.25,2.83
9,4,6,9,0.29,3.1
9,4,6,10,0.3,3.29
9,4,7,3,0.11,1.3
9,4,7,4,0.11,1.56
9,4,7,5,0.18,1.92
9,4,7,6,0.17,2.28
9,4,7,7,0.24,2.77
9,4,7,8,0.18,3.27
9,4,7,9,0.24,3.49
9,4,7,10,0.25,4.04
9,4,8,3,0.11,1.3
9,4,8,4,0.11,1.86
9,4,8,5,0.18,2.26
9,4,8,6,0.18,2.66
9,4,8,7,0.18,3.07
9,4,8,8,0.17,3.52
9,4,8,9,0.2,3.84
9,4,8,10,0.2,4.06
9,4,9,3,0.11,1.47
9,4,9,4,0.12,2.04
9,4,9,5,0.11,2.44
9,4,9,6,0.12,2.93
9,4,9,7,0.13,3.38
9,4,9,8,0.13,4.0
9,4,9,9,0.15,4.35
9,4,9,10,0.15,4.91
9,5,5,3,0.22,0.92
9,5,5,4,0.22,1.22
9,5,5,5,0.3,1.63
9,5,5,6,0.24,1.85
9,5,5,7,0.23,1.99
9,5,5,8,0.3,2.15
9,5,5,9,0.36,2.55
9,5,5,10,0.34,2.71
9,5,6,3,0.11,1.1
9,5,6,4,0.17,1.33
9,5,6,5,0.17,1.75
9,5,6,6,0.19,2.04
9,5,6,7,0.18,2.39
9,5,6,8,0.24,2.7
9,5,6,9,0.31,3.02
9,5,6,10,0.24,3.21
9,5,7,3,0.11,1.24
9,5,7,4,0.17,1.62
9,5,7,5,0.23,1.96
9,5,7,6,0.21,2.33
9,5,7,7,0.22,2.71
9,5,7,8,0.23,3.0
9,5,7,9,0.21,3.41
9,5,7,10,0.27,3.71
9,5,8,3,0.11,1.34
9,5,8,4,0.17,1.8
9,5,8,5,0.12,2.23
9,5,8,6,0.13,2.7
9,5,8,7,0.18,3.05
9,5,8,8,0.18,3.68
9,5,8,9,0.2,3.82
9,5,8,10,0.2,4.29
9,5,9,3,0.11,1.54
9,5,9,4,0.11,1.97
9,5,9,5,0.12,2.61
9,5,9,6,0.13,2.98
9,5,9,7,0.13,3.53
9,5,9,8,0.14,3.95
9,5,9,9,0.15,4.45
9,5,9,10,0.16,4.87
9,6,5,3,0.21,0.92
9,6,5,4,0.12,1.28
9,6,5,5,0.23,1.61
9,6,5,6,0.22,1.79
9,6,5,7,0.3,1.93
9,6,5,8,0.33,2.24
9,6,5,9,0.31,2.63
9,6,5,10,0.39,2.86
9,6,6,3,0.11,1.09
9,6,6,4,0.16,1.39
9,6,6,5,0.13,1.67
9,6,6,6,0.24,2.06
9,6,6,7,0.18,2.49
9,6,6,8,0.23,3.08
9,6,6,9,0.31,3.15
9,6,6,10,0.34,3.46
9,6,7,3,0.11,1.2
9,6,7,4,0.2,1.57
9,6,7,5,0.18,2.02
9,6,7,6,0.17,2.41
9,6,7,7,0.2,2.85
9,6,7,8,0.15,3.41
9,6,7,9,0.24,3.4
9,6,7,10,0.26,3.92
9,6,8,3,0.11,1.46
9,6,8,4,0.12,1.89
9,6,8,5,0.17,2.31
9,6,8,6,0.13,2.65
9,6,8,7,0.19,3.06
9,6,8,8,0.19,3.44
9,6,8,9,0.2,4.06
9,6,8,10,0.16,4.86
9,6,9,3,0.11,1.56
9,6,9,4,0.12,2.4
9,6,9,5,0.13,2.72
9,6,9,6,0.13,2.96
9,6,9,7,0.14,3.58
9,6,9,8,0.15,4.08
9,6,9,9,0.16,4.5
9,6,9,10,0.16,4.93
9,7,5,3,0.16,1.03
9,7,5,4,0.12,1.23
9,7,5,5,0.22,1.48
9,7,5,6,0.22,1.75
9,7,5,7,0.25,1.96
9,7,5,8,0.33,2.24
9,7,5,9,0.33,2.58
9,7,5,10,0.4,2.79
9,7,6,3,0.16,1.11
9,7,6,4,0.17,1.88
9,7,6,5,0.19,1.75
9,7,6,6,0.29,2.03
9,7,6,7,0.24,2.33
9,7,6,8,0.26,2.67
9,7,6,9,0.32,3.08
9,7,6,10,0.29,3.26
9,7,7,3,0.11,1.23
9,7,7,4,0.12,1.57
9,7,7,5,0.12,1.87
9,7,7,6,0.13,2.44
9,7,7,7,0.19,2.7
9,7,7,8,0.22,3.22
9,7,7,9,0.21,3.47
9,7,7,10,0.27,3.82
9,7,8,3,0.11,1.38
9,7,8,4,0.12,1.98
9,7,8,5,0.16,2.23
9,7,8,6,0.19,2.61
9,7,8,7,0.19,3.23
9,7,8,8,0.2,3.66
9,7,8,9,0.22,4.14
9,7,8,10,0.42,4.76
9,7,9,3,0.11,1.6
9,7,9,4,0.12,2.0
9,7,9,5,0.12,2.51
9,7,9,6,0.14,3.02
9,7,9,7,0.14,3.55
9,7,9,8,0.15,4.14
9,7,9,9,0.15,4.85
9,7,9,10,0.17,4.95
9,8,5,3,0.21,1.02
9,8,5,4,0.18,1.41
9,8,5,5,0.19,1.46
9,8,5,6,0.23,1.94
9,8,5,7,0.38,2.29
9,8,5,8,0.33,2.49
9,8,5,9,0.32,2.54
9,8,5,10,0.37,2.94
9,8,6,3,0.17,1.02
9,8,6,4,0.16,1.49
9,8,6,5,0.26,1.79
9,8,6,6,0.2,2.02
9,8,6,7,0.18,2.5
9,8,6,8,0.25,2.66
9,8,6,9,0.33,3.22
9,8,6,10,0.27,3.37
9,8,7,3,0.12,1.32
9,8,7,4,0.22,1.6
9,8,7,5,0.13,1.96
9,8,7,6,0.2,2.39
9,8,7,7,0.15,2.9
9,8,7,8,0.26,3.22
9,8,7,9,0.25,3.67
9,8,7,10,0.27,4.14
9,8,8,3,0.11,1.33
9,8,8,4,0.18,1.85
9,8,8,5,0.14,2.19
9,8,8,6,0.13,2.74
9,8,8,7,0.2,3.34
9,8,8,8,0.21,3.67
9,8,8,9,0.22,4.11
9,8,8,10,0.23,4.7
9,8,9,3,0.11,1.63
9,8,9,4,0.13,2.09
9,8,9,5,0.13,2.63
9,8,9,6,0.13,3.08
9,8,9,7,0.15,3.44
9,8,9,8,0.15,4.2
9,8,9,9,0.15,4.4
9,8,9,10,0.17,5.13
9,9,5,3,0.17,0.9
9,9,5,4,0.17,1.19
9,9,5,5,0.34,1.49
9,9,5,6,0.18,2.0
9,9,5,7,0.28,2.04
9,9,5,8,0.27,2.09
9,9,5,9,0.32,2.4
9,9,5,10,0.38,2.75
9,9,6,3,0.15,1.05
9,9,6,4,0.17,1.25
