nodes,NR,NW,clients,read_s,write_s
5,3,5,4,0.1,0.12
5,3,5,5,0.1,0.13
5,3,5,6,0.11,0.13
5,3,5,7,0.11,0.13
5,3,5,8,0.11,0.13
5,3,5,9,0.11,0.14
5,3,5,10,0.12,0.14
5,4,3,1,0.1,0.1
5,4,3,2,0.1,0.11
5,4,3,3,0.1,0.11
5,4,3,4,0.1,0.11
5,4,3,5,0.11,0.12
5,4,3,6,0.11,0.12
5,4,3,7,0.11,0.12
5,4,3,8,0.12,0.12
5,4,3,9,0.12,0.12
5,4,3,10,0.12,0.13
5,4,4,1,0.09,0.11
5,4,4,2,0.1,0.11
5,4,4,3,0.1,0.11
5,4,4,4,0.1,0.11
5,4,4,5,0.11,0.12
5,4,4,6,0.11,0.12
5,4,4,7,0.11,0.13
5,4,4,8,0.12,0.15
5,4,4,9,0.11,0.13
5,4,4,10,0.12,0.14
5,4,5,1,0.1,0.12
5,4,5,2,0.1,0.11
5,4,5,3,0.1,0.12
5,4,5,4,0.1,0.12
5,4,5,5,0.11,0.13
5,4,5,6,0.11,0.13
5,4,5,7,0.12,0.13
5,4,5,8,0.11,0.13
5,4,5,9,0.12,0.15
5,4,5,10,0.12,0.18
5,5,3,1,0.1,0.11
5,5,3,2,0.09,0.1
5,5,3,3,0.11,0.11
5,5,3,4,0.11,0.11
5,5,3,5,0.11,0.11
5,5,3,6,0.12,0.12
5,5,3,7,0.11,0.12
5,5,3,8,0.12,0.13
5,5,3,9,0.12,0.12
5,5,3,10,0.12,0.13
5,5,4,1,0.09,0.11
5,5,4,2,0.1,0.11
5,5,4,3,0.1,0.11
5,5,4,4,0.11,0.12
5,5,4,5,0.11,0.12
5,5,4,6,0.11,0.13
5,5,4,7,0.12,0.13
5,5,4,8,0.12,0.13
5,5,4,9,0.12,0.13
5,5,4,10,0.13,0.15
5,5,5,1,0.09,0.12
5,5,5,2,0.1,0.11
5,5,5,3,0.1,0.12
5,5,5,4,0.11,0.12
5,5,5,5,0.11,0.12
5,5,5,6,0.11,0.13
5,5,5,7,0.12,0.13
5,5,5,8,0.12,0.14
5,5,5,9,0.12,0.16
5,5,5,10,0.12,0.14
6,1,6,1,0.09,0.12
6,1,6,2,0.1,0.12
6,1,6,3,0.1,0.12
6,1,6,4,0.1,0.13
6,1,6,5,0.1,0.13
6,1,6,6,0.1,0.14
6,1,6,7,0.1,0.14
6,1,6,8,0.1,0.14
6,1,6,9,0.1,0.15
6,1,6,10,0.1,0.15
6,2,5,1,0.09,0.11
6,2,5,2,0.1,0.12
6,2,5,3,0.1,0.12
6,2,5,4,0.1,0.12
6,2,5,5,0.1,0.13
6,2,5,6,0.11,0.13
6,2,5,7,0.11,0.13
6,2,5,8,0.1,0.14
6,2,5,9,0.11,0.14
6,2,5,10,0.11,0.14
6,2,6,1,0.09,0.12
6,2,6,2,0.09,0.12
6,2,6,3,0.1,0.13
6,2,6,4,0.09,0.13
6,2,6,5,0.1,0.13
6,2,6,6,0.1,0.14
6,2,6,7,0.1,0.14
6,2,6,8,0.11,0.14
6,2,6,9,0.11,0.17
6,2,6,10,0.11,0.14
6,3,4,1,0.09,0.11
6,3,4,2,0.1,0.11
6,3,4,3,0.1,0.12
6,3,4,4,0.1,0.12
6,3,4,5,0.11,0.12
6,3,4,6,0.11,0.12
6,3,4,7,0.11,0.12
6,3,4,8,0.11,0.14
6,3,4,9,0.11,0.13
6,3,4,10,0.11,0.13
6,3,5,1,0.09,0.11
6,3,5,2,0.09,0.12
6,3,5,3,0.09,0.12
6,3,5,4,0.1,0.12
6,3,5,5,0.1,0.12
6,3,5,6,0.11,0.13
6,3,5,7,0.11,0.13
6,3,5,8,0.11,0.15
6,3,5,9,0.11,0.14
6,3,5,10,0.12,0.15
6,3,6,1,0.09,0.12
6,3,6,2,0.09,0.12
6,3,6,3,0.1,0.13
6,3,6,4,0.1,0.13
6,3,6,5,0.1,0.13
6,3,6,6,0.1,0.14
6,3,6,7,0.11,0.16
6,3,6,8,0.11,0.15
6,3,6,9,0.11,0.15
6,3,6,10,0.11,0.15
6,4,4,1,0.09,0.11
6,4,4,2,0.1,0.11
6,4,4,3,0.1,0.11
6,4,4,4,0.1,0.12
6,4,4,5,0.11,0.12
6,4,4,6,0.12,0.12
6,4,4,7,0.11,0.12
6,4,4,8,0.11,0.13
6,4,4,9,0.12,0.13
6,4,4,10,0.12,0.13
6,4,5,1,0.09,0.11
6,4,5,2,0.1,0.12
6,4,5,3,0.1,0.11
6,4,5,4,0.1,0.12
6,4,5,5,0.11,0.12
6,4,5,6,0.11,0.12
6,4,5,7,0.11,0.15
6,4,5,8,0.11,0.13
6,4,5,9,0.12,0.14
6,4,5,10,0.13,0.15
6,4,6,1,0.09,0.11
6,4,6,2,0.1,0.12
6,4,6,3,0.1,0.12
6,4,6,4,0.1,0.15
6,4,6,5,0.1,0.13
6,4,6,6,0.11,0.14
6,4,6,7,0.11,0.14
6,4,6,8,0.11,0.14
6,4,6,9,0.12,0.16
6,4,6,10,0.12,0.15
6,5,4,1,0.09,0.11
6,5,4,2,0.1,0.11
6,5,4,3,0.1,0.11
6,5,4,4,0.1,0.12
6,5,4,5,0.11,0.12
6,5,4,6,0.11,0.12
6,5,4,7,0.12,0.13
6,5,4,8,0.12,0.13
6,5,4,9,0.12,0.13
6,5,4,10,0.12,0.14
6,5,5,1,0.09,0.11
6,5,5,2,0.1,0.11
6,5,5,3,0.1,0.12
6,5,5,4,0.1,0.12
6,5,5,5,0.11,0.14
6,5,5,6,0.11,0.13
6,5,5,7,0.11,0.15
6,5,5,8,0.12,0.15
6,5,5,9,0.11,0.15
6,5,5,10,0.12,0.14
6,5,6,1,0.09,0.11
6,5,6,2,0.1,0.12
6,5,6,3,0.1,0.12
6,5,6,4,0.11,0.13
6,5,6,5,0.1,0.13
6,5,6,6,0.11,0.14
6,5,6,7,0.12,0.14
6,5,6,8,0.12,0.15
6,5,6,9,0.12,0.14
6,5,6,10,0.12,0.15
6,6,4,1,0.09,0.11
6,6,4,2,0.1,0.11
6,6,4,3,0.1,0.11
6,6,4,4,0.11,0.12
6,6,4,5,0.11,0.12
6,6,4,6,0.12,0.12
6,6,4,7,0.12,0.13
6,6,4,8,0.12,0.12
6,6,4,9,0.12,0.13
6,6,4,10,0.13,0.13
6,6,5,1,0.09,0.11
6,6,5,2,0.1,0.11
6,6,5,3,0.1,0.12
6,6,5,4,0.11,0.12
6,6,5,5,0.11,0.14
6,6,5,6,0.12,0.13
6,6,5,7,0.12,0.13
6,6,5,8,0.12,0.17
6,6,5,9,0.12,0.13
6,6,5,10,0.13,0.14
6,6,6,1,0.09,0.12
6,6,6,2,0.1,0.12
6,6,6,3,0.1,0.12
6,6,6,4,0.11,0.13
6,6,6,5,0.11,0.13
6,6,6,6,0.11,0.13
6,6,6,7,0.12,0.14
6,6,6,8,0.12,0.15
6,6,6,9,0.12,0.15
6,6,6,10,0.13,0.17
7,1,7,1,0.09,0.13
7,1,7,2,0.09,0.13
7,1,7,3,0.09,0.13
7,1,7,4,0.1,0.13
7,1,7,5,0.1,0.14
7,1,7,6,0.1,0.14
7,1,7,7,0.1,0.14
7,1,7,8,0.1,0.15
7,1,7,9,0.1,0.15
7,1,7,10,0.11,0.16
7,2,6,1,0.09,0.12
7,2,6,2,0.09,0.12
7,2,6,3,0.1,0.12
7,2,6,4,0.1,0.12
7,2,6,5,0.1,0.12
7,2,6,6,0.1,0.13
7,2,6,7,0.1,0.13
7,2,6,8,0.1,0.13
7,2,6,9,0.1,0.14
